Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
United States,12301186,260402,6241822,0.021,0.507
India,9095806,133227,8521617,0.015,0.937
Brazil,6071401,169197,5432505,0.028,0.895
France,2140208,48732,151681,0.023,0.071
Russia,2089329,36179,1595443,0.017,0.764
Spain,1556730,42619,,0.027,
United Kingdom,1512045,55024,,0.036,
Italy,1408868,49823,553098,0.035,0.393
Argentina,1370353,37002,1195479,0.027,0.872
Colombia,1248417,35287,1150932,0.028,0.922
Mexico,1041875,101676,779104,0.098,0.748
Peru,949670,35595,879439,0.037,0.926
Germany,932111,14343,603729,0.015,0.648
Poland,861331,13618,423971,0.016,0.492
Iran,854361,44802,603445,0.052,0.706
South Africa,767679,20903,710099,0.027,0.925
Ukraine,624744,10951,286917,0.018,0.459
Belgium,556904,15522,,0.028,
Chile,540640,15069,516121,0.028,0.955
Iraq,535321,11958,465452,0.022,0.869
Indonesia,497668,15884,418188,0.032,0.84
Czech Republic,492263,7196,398101,0.015,0.809
Netherlands,484648,8891,,0.018,
Bangladesh,447341,6388,362428,0.014,0.81
Turkey,446822,12358,374637,0.028,0.838
Philippines,418818,8123,386486,0.019,0.923
Romania,418645,10047,295148,0.024,0.705
Pakistan,374173,7662,329828,0.02,0.881
Saudi Arabia,355258,5780,343371,0.016,0.967
Israel,328918,2799,317887,0.009,0.966
Morocco,324941,5316,270457,0.016,0.832
Switzerland,290601,3575,182300,0.012,0.627
Portugal,260758,3897,172919,0.015,0.663
Austria,247188,2388,169260,0.01,0.685
Nepal,220308,1321,199024,0.006,0.903
Sweden,208295,6406,,0.031,
Ecuador,185643,13201,164009,0.071,0.883
Jordan,183429,2236,114018,0.012,0.622
Hungary,174618,3800,42915,0.022,0.246
United Arab Emirates,158990,552,148871,0.003,0.936
Panama,154783,2957,135962,0.019,0.878
Bolivia,143978,8907,119338,0.062,0.829
Kuwait,140056,866,132178,0.006,0.944
Dominican Republic,138410,2310,112552,0.017,0.813
Qatar,137229,236,134282,0.002,0.979
Japan,130179,1974,111163,0.015,0.854
Costa Rica,129418,1608,79372,0.012,0.613
Armenia,126224,1952,94090,0.015,0.745
Kazakhstan,125466,1945,112292,0.016,0.895
Belarus,123999,1096,103848,0.009,0.837
Oman,122081,1380,113269,0.011,0.928
Serbia,121120,1199,,0.01,
Bulgaria,120697,2820,35752,0.023,0.296
Guatemala,118629,4076,107413,0.034,0.905
Lebanon,116476,900,67667,0.008,0.581
Egypt,113027,6548,101881,0.058,0.901
Ethiopia,105785,1647,65691,0.016,0.621
Georgia,104732,976,85639,0.009,0.818
Honduras,104435,2857,46208,0.027,0.442
Croatia,103718,1353,82380,0.013,0.794
Venezuela,99435,869,94355,0.009,0.949
Moldova,97941,2147,79556,0.022,0.812
Slovakia,96241,671,45883,0.007,0.477
Azerbaijan,93094,1131,63841,0.012,0.686
Greece,91619,1630,,0.018,
Tunisia,88711,2821,62249,0.032,0.702
China,86442,4634,81493,0.054,0.943
Bahrain,85591,338,83617,0.004,0.977
Bosnia and Herzegovina,80006,2276,44416,0.028,0.555
Myanmar,79246,1739,58758,0.022,0.741
Libya,77823,1089,48914,0.014,0.629
Kenya,77372,1380,51507,0.018,0.666
Paraguay,76476,1657,54491,0.022,0.713
Algeria,74862,2272,48794,0.03,0.652
Palestine,71644,636,59021,0.009,0.824
Uzbekistan,71280,603,68525,0.008,0.961
Denmark,70485,784,55274,0.011,0.784
Ireland,70461,2023,25097,0.029,0.356
Kyrgyzstan,69581,1231,60811,0.018,0.874
Nigeria,66383,1167,62076,0.018,0.935
Slovenia,64284,1026,,0.016,
Singapore,58148,28,58064,0.0,0.999
Malaysia,54775,335,41597,0.006,0.759
North Macedonia,54743,1511,32366,0.028,0.591
Ghana,50717,323,49281,0.006,0.972
Lithuania,47047,386,10945,0.008,0.233
Puerto Rico,45268,1012,,0.022,
Afghanistan,44519,1687,35905,0.038,0.807
El Salvador,37250,1070,33984,0.029,0.912
Kosovo,34295,914,21043,0.027,0.614
Albania,32761,699,15842,0.021,0.484
Norway,32352,306,20956,0.009,0.648
Montenegro,31062,439,19491,0.014,0.627
South Korea,31004,509,26539,0.016,0.856
Luxembourg,30333,262,20014,0.009,0.66
Australia,27807,907,25338,0.033,0.911
Cameroon,22692,433,21510,0.019,0.948
Finland,21216,375,15300,0.018,0.721
Ivory Coast,21126,129,20777,0.006,0.983
Sri Lanka,20171,87,14069,0.004,0.697
Uganda,17968,172,8611,0.01,0.479
Zambia,17394,356,16659,0.02,0.958
Madagascar,17310,250,16592,0.014,0.959
Senegal,15865,330,15465,0.021,0.975
Sudan,15839,1193,9727,0.075,0.614
Mozambique,15037,124,13151,0.008,0.875
Angola,14413,336,7273,0.023,0.505
Namibia,13811,145,13209,0.01,0.956
French Polynesia,12978,63,5167,0.005,0.398
Guinea,12798,75,11821,0.006,0.924
Latvia,12744,153,1557,0.012,0.122
Maldives,12578,45,11559,0.004,0.919
DR Congo,12180,327,11300,0.027,0.928
Tajikistan,11854,86,11229,0.007,0.947
Jamaica,10240,237,5481,0.023,0.535
Cape Verde,10234,104,9649,0.01,0.943
Donetsk PR,9780,899,4597,0.092,0.47
Estonia,9724,88,5699,0.009,0.586
Haiti,9214,232,7854,0.025,0.852
Zimbabwe,9172,265,8235,0.029,0.898
Gabon,9131,59,8976,0.006,0.983
Malta,8924,111,6654,0.012,0.746
Cyprus,8456,43,2055,0.005,0.243
Mauritania,8096,169,7573,0.021,0.935
