Country,Weeks Paid,Payment Rate,Population 2020
Country,Weeks Paid,Payment Rate,Population 2020
Bulgaria,58.6,90.00%,6948445
Greece,43,49.00%,10423054
United Kingdom,39,30.00%,67886011
Slovakia,34,75.00%,5459642
Croatia,30,100.00%,4105267
Czech Republic,28,61.00%,10708981
Ireland,26,26.00%,4937786
Hungary,24,70.00%,9660351
Italy,21.7,80.00%,60461826
Luxembourg,20,100.00%,625978
Estonia,20,100.00%,1326535
Poland,20,100.00%,37846611
Malta,18,86.00%,441543
Cyprus,18,75.00%,1207359
Lithuania,18,100.00%,2722289
New Zealand,18,46.00%,4822233
Denmark,18,53.00%,5792202
Chile,18,100.00%,19116201
Romania,18,85.00%,19237691
Australia,18,42.00%,25499884
Finland,17.5,74.00%,5540720
Costa Rica,17.3,100.00%,5094118
Latvia,16,80.00%,1886198
Austria,16,100.00%,9006398
Netherlands,16,100.00%,17134872
Canada,16,49.00%,37742154
Spain,16,100.00%,46754778
France,16,90.00%,65273511
Turkey,16,66.00%,84339067
Slovenia,15,100.00%,2078938
Israel,15,100.00%,8655535
Belgium,15,63.00%,11589623
Switzerland,14,58.00%,8654622
Germany,14,100.00%,83783942
Japan,14,67.00%,126476461
Iceland,13,68.00%,341243
Norway,13,94.00%,5421241
Sweden,12.9,77.00%,10099265
South Korea,12.9,80.00%,51269185
Mexico,12,100.00%,128932753
Portugal,6,100.00%,10196709
United States,,0.00%,331002651
